source,date,uka_code,code,site,pm10,pm10_capture,pm2.5,pm2.5_capture,latitude,longitude,site_type
aurn,2015-02-01T00:00:00Z,UKA00248,MAN3,Manchester Piccadilly,NA,NA,13.638356,0.977679,53.48152,-2.237881,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00220,MID,Middlesbrough,19.026206,0.925595,14.46873,0.91369,54.569297,-1.220874,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00315,MY1,London Marylebone Road,26.142239,0.997024,16.212176,1,51.52253,-0.154611,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00213,NEWC,Newcastle Centre,21.066567,0.997024,12.851647,0.994048,54.97825,-1.610528,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00549,NO12,Norwich Lakenfields,20.474419,0.895833,17.227409,0.895833,52.614823,1.302686,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00274,NOTT,Nottingham Centre,24.317962,0.861607,14.563311,0.872024,52.95473,-1.146447,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00380,NPT3,Newport,16.934016,0.72619,11.755901,0.958333,51.601203,-2.977281,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00518,OX8,Oxford St Ebbes,16.370033,0.89881,11.91791,0.897321,51.744806,-1.260278,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00323,PEMB,Narberth,13.11014,0.953869,NA,NA,51.782616,-4.69237,Rural Background
aurn,2015-02-01T00:00:00Z,UKA00360,PLYM,Plymouth Centre,17.755804,1,12,0.967262,50.37167,-4.142361,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00421,PMTH,Portsmouth,19.621356,0.877976,13.179487,0.870536,50.82881,-1.068583,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00408,PRES,Preston,NA,NA,11.954911,1,53.76559,-2.680353,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00501,PT4,Port Talbot Margam,24.293023,0.959821,10.696197,0.938988,51.58395,-3.770822,Urban Industrial
aurn,2015-02-01T00:00:00Z,UKA00462,REA1,Reading New Town,15.282799,0.88244,10.91602,0.88244,51.45309,-0.944067,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00251,ROCH,Rochester Stoke,17.035377,0.849702,10.208538,0.85119,51.45617,0.634889,Rural Background
aurn,2015-02-01T00:00:00Z,UKA00569,SASH,Saltash Callington Road,16.935329,0.994048,11.190269,0.994048,50.411463,-4.227678,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00381,SCN2,Scunthorpe Town,25.823684,0.848214,NA,NA,53.58634,-0.636811,Urban Industrial
aurn,2015-02-01T00:00:00Z,UKA00533,SDY,Sandy Roadside,22.222794,0.809524,15.39245,0.886905,52.132417,-0.300306,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00409,SEND,Southend-on-Sea,NA,NA,13.76789,0.855655,51.544166,0.678331,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00575,SHDG,Sheffield Devonshire Green,18.93309,0.813988,12.915119,0.561012,53.378622,-1.478096,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00235,SOUT,Southampton Centre,23.757702,0.56994,18.244909,0.56994,50.908173,-1.395757,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00337,STOK,Stoke-on-Trent Centre,21.616726,0.83631,14.549085,0.894345,53.02821,-2.175133,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00548,STOR,Storrington Roadside,15.44069,0.99256,13.38351,0.983631,50.916932,-0.449548,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00484,SUN2,Sunderland Silksworth,NA,NA,9.632268,0.977679,54.88361,-1.406878,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00497,SWA1,Swansea Roadside,20.510607,0.994048,13.462999,0.99256,51.632696,-3.947374,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00572,TED2,London Teddington Bushy Park,NA,NA,13.012326,0.857143,51.425286,-0.345606,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00272,THUR,Thurrock,17.421242,0.910714,NA,NA,51.47707,0.317969,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00406,TRAN,Wirral Tranmere,NA,NA,9.30015,0.994048,53.37287,-3.022722,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00538,WAR,Warrington,18.395089,1,16.423845,0.998512,53.389225,-2.615593,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00482,WIG5,Wigan Centre,NA,NA,12.514499,0.995536,53.54914,-2.638139,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00523,YK10,York Bootham,19.591892,0.991071,15.439098,0.989583,53.967513,-1.086514,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00524,YK11,York Fishergate,24.304683,0.985119,17.233533,0.994048,53.951889,-1.075861,Urban Traffic
aurn,2015-03-01T00:00:00Z,UKA00399,ABD,Aberdeen,15.859623,0.998656,13.091417,0.986559,57.15736,-2.094278,Urban Background
aurn,2015-03-01T00:00:00Z,UKA00451,ACTH,Auchencorth Moss,9.412789,0.987903,4.745983,0.97043,55.79216,-3.2429,Rural Background
aurn,2015-03-01T00:00:00Z,UKA00559,AGRN,Birmingham Acocks Green,NA,NA,16.627419,1,52.437165,-1.829999,Urban Background
aurn,2015-03-01T00:00:00Z,UKA00541,ARM6,Armagh Roadside,33.914205,0.709677,NA,NA,54.353728,-6.654558,Urban Traffic
aurn,2015-03-01T00:00:00Z,UKA00594,BEL1,Belfast Stockman's Lane,26.586062,1,NA,NA,54.572586,-5.974944,Urban Traffic
aurn,2015-03-01T00:00:00Z,UKA00212,BEL2,Belfast Centre,21.333671,0.930108,13.558321,0.928763,54.59965,-5.928833,Urban Background
aurn,2015-03-01T00:00:00Z,UKA00238,BEX,London Bexley,NA,NA,17.833199,1,51.46603,0.184806,Suburban Background
aurn,2015-03-01T00:00:00Z,UKA00479,BIR1,Birmingham Tyburn,21.551957,0.995968,16.979861,0.774194,52.511722,-1.830583,Urban Background
aurn,2015-03-01T00:00:00Z,UKA00543,BIRT,Birmingham Tyburn Roadside,25.157796,1,18.016329,0.995968,52.512194,-1.830861,Urban Traffic
aurn,2015-03-01T00:00:00Z,UKA00488,BLC2,Blackpool Marton,NA,NA,15.543711,0.651882,53.80489,-3.007175,Urban Background
aurn,2015-03-01T00:00:00Z,UKA00574,BPLE,Barnstaple A39,28.76402,0.795699,16.081944,0.967742,51.074793,-4.041924,Urban Traffic
aurn,2015-03-01T00:00:00Z,UKA00494,BRS8,Bristol St Paul's,23.192204,1,18.252759,0.998656,51.462839,-2.584482,Urban Background
aurn,2015-03-01T00:00:00Z,UKA00598,BURW,Bury Whitefield Roadside,24.985849,0.997312,NA,NA,53.559029,-2.293772,Urban Traffic
aurn,2015-03-01T00:00:00Z,UKA00259,CA1,Camden Kerbside,30.214016,0.997312,19.044762,0.987903,51.544233,-0.175228,Urban Traffic
aurn,2015-03-01T00:00:00Z,UKA00217,CARD,Cardiff Centre,25.872904,0.897849,17.716517,0.895161,51.48178,-3.17625,Urban Background
